train1,train2,train3,train4,label
1.072412295,0.954084921,1.097985691,10.09612989,0.003101266
1.982852377,1.938610387,2.068837617,10.07572178,0.010854514
1.034029764,1.943928444,8.052190726,1.011547183,0.015674276
0.029712824,-0.07086312,0.065750335,0.983383836,0.016404084
-0.060778671,-0.048006819,0.009147352,5.357390137,0.021903927
0.94631128,0.976709639,8.098784688,1.096306973,0.023571755
1.092855225,1.996126282,7.908748744,1.028485173,0.029502649
2.03799508,1.90011454,1.999376874,9.996428125,0.034647301
0.905929851,2.033834811,3.066902492,4.989087338,0.035541634
1.983855721,2.003757693,7.950758311,1.967820969,0.040612365
0.915551971,0.916859415,1.078180318,8.940203951,0.042155204
1.046078269,2.018459732,7.939403692,0.913058401,0.046687143
0.991581035,0.913617358,7.958164465,1.094136413,0.048352476
3.095361235,3.039789897,3.06781489,8.984728078,0.050715293
1.983889216,2.051619533,1.985943138,9.936833718,0.07176201
1.079368134,8.031448313,0.997048871,1.005024729,0.072350236
-0.009183147,0.031356512,0.469113836,0.549484363,0.079868742
1.984707723,1.939524757,1.948195415,10.01544343,0.084495941
1.057321461,8.040636596,0.924433209,0.901511847,0.085549878
0.964763471,2.025234543,5.971746608,6.080051444,0.094062652
2.054008678,2.046840359,2.014946065,9.924081481,0.098119537
2.093989104,1.968687221,1.978301428,9.949080949,0.101511741
3.066041168,8.902251036,2.961692328,3.027785788,0.102706809
4.029796727,8.003614329,0.956648656,1.079474439,0.103198323
3.981212835,8.050301905,0.929105932,0.950871005,0.110926358
3.980455358,4.033524106,4.034245937,8.065702095,0.11451763
2.085866443,2.099250138,1.974832434,10.01710821,0.115297142
-0.098211193,-0.087599562,0.407515542,0.521015937,0.119601113
2.9961794,2.981128116,8.030636513,1.029516775,0.121219349
1.004056936,2.075315529,8.013096443,1.035995984,0.121367715
1.074508886,1.0037343,7.907078501,0.974152894,0.125152161
0.924301926,7.960663541,0.905817076,1.020927187,0.140588996
2.961932749,2.915552689,7.969618067,0.957375713,0.140689417
1.974877511,2.073560996,9.933536505,1.99609469,0.148640315
0.987576467,1.930699499,7.933864885,1.038264198,0.149124962
1.967675259,2.085637652,1.964786673,10.05075969,0.157303349
3.002727613,3.013856086,8.038092878,0.926431453,0.157360137
2.036238884,1.981354089,1.98365645,10.06833012,0.171299679
1.067472586,8.022068858,1.081159285,0.950623021,0.177900155
2.05717537,1.925295909,1.938331904,10.0905514,0.189739291
1.047021031,9.04954346,0.90186291,8.948858954,0.1933849
3.945047179,3.907145146,4.042372569,7.911977014,0.193406027
2.954177715,2.932208869,8.062285978,1.014180154,0.196398956
2.0820505,1.988719685,1.900237332,10.08417565,0.197388142
2.989962765,2.959546038,2.972238126,9.004267114,0.215269762
2.981705311,2.920817831,8.084159287,1.054988661,0.22338348
0.918183305,8.966632211,0.972427726,8.954514769,0.229551573
0.963182732,8.922252685,0.936631829,8.918086553,0.229621862
1.928202157,6.984156105,1.997273301,7.026102037,0.234810295
3.099860102,3.077826092,8.095379362,1.030684234,0.235650811
1.050763808,0.343274215,0.282072482,0.513479292,0.244617899
4.062546212,4.081934876,8.954968439,0.968597975,0.267301239
2.00391836,1.974075177,6.042143437,5.949438446,0.276128867
8.944137378,1.031122943,0.980874096,9.072952337,0.28203113
7.974857127,0.929550365,0.967761439,7.964021672,0.284719773
7.040893743,1.034181984,0.970708091,7.078187436,0.290928949
1.012375894,8.951351344,0.937287104,8.982930911,0.29968791
0.993710453,0.707227101,0.499287962,1.041506432,0.311335099
9.075306697,0.988295579,0.907899114,9.097439334,0.326042688
1.906745282,6.948553606,2.065806483,7.013772922,0.335937147
1.946461578,1.957205271,5.967265945,5.96325542,0.342063276
1.960844725,2.010641894,5.994383862,5.943453526,0.348340045
7.971848674,1.032203417,0.993359319,8.038362135,0.350929065
8.943939236,0.993152047,9.071821436,0.991881782,0.35243384
9.023847256,0.994020394,0.986919398,8.91901372,0.353460213
9.004894639,0.995606151,0.914139973,9.083776603,0.371245983
7.972104787,0.996777519,0.998007158,8.023838995,0.371435458
1.905083657,2.006051799,5.996514813,5.92320554,0.372709463
7.966800246,0.925587732,1.088743426,8.079524136,0.403931416
2.909980574,3.085925906,9.085011486,2.944003326,0.420270021
5.9723978,2.086475988,5.966056197,5.991242208,0.450785953
2.927034457,3.065397102,3.062671496,9.033442898,0.450800602
4.993647008,4.987099778,4.954822514,4.928937955,0.451855785
5.030561082,4.900381871,5.007548483,4.925035573,0.460063548
5.012168921,4.926300075,5.056475082,4.967655786,0.46238836
6.004233766,5.934607377,5.97305039,6.042415442,0.464455932
4.037675315,4.053936241,4.049010777,3.932568894,0.490841863
2.97113469,3.094943794,3.087046231,2.921096035,0.495376046
3.918131654,4.099031764,3.917598255,4.082596112,0.499276341
2.980525283,3.04212354,2.979252902,8.991133722,0.509656577
5.037969937,5.073324277,5.002339461,5.075749491,0.512107025
4.033468668,3.984731231,3.945155433,3.989005421,0.519243772
4.98137698,4.999062971,5.076995061,4.984896544,0.531163514
5.0488838,5.09914662,4.900315437,5.04072381,0.540403475
8.073042402,1.906661343,1.976349014,8.03767823,0.545272751
4.998431694,5.040618592,4.988030073,5.062357514,0.552805701
5.999628995,2.019885235,5.942798942,5.94828441,0.560177113
4.910022481,5.03785918,5.099130832,5.081461825,0.562182667
2.957154033,2.932245147,3.096991858,9.088915994,0.573394794
6.009672943,1.956607572,2.075244606,5.972465067,0.617295607
1.947113614,8.046961342,1.996145426,2.089080336,0.664738544
2.093710322,8.031264515,2.085269016,1.952456966,0.67209117
7.084856242,0.950064702,6.944144496,0.919779062,0.691219436
8.915545996,0.923346991,9.003132966,0.936239389,0.692894125
7.026892581,0.994099205,6.962780845,1.04502983,0.700806547
2.017826838,7.975463819,1.903287723,2.084217699,0.701120214
2.005814833,7.949120936,2.08256415,1.945472051,0.711570259
2.968904232,0.176761398,0.622620382,0.005104232,0.741325134
3.048227941,1.021887883,0.036457312,0.027937046,0.741621752
6.00209373,6.087593622,6.09443787,1.064543061,0.760042406
5.979786007,6.041010901,1.014412211,6.088185169,0.769465667
6.92059867,6.928769662,6.944258602,1.931281135,0.775469263
7.093590198,1.015341838,6.978605284,1.009473009,0.779553561
1.933701517,8.014686961,2.099187235,1.944504408,0.803572065
9.07602662,8.918230829,0.915338531,1.022188812,0.805309852
6.978126249,1.022962549,7.072848602,0.943290481,0.81005704
7.04064324,1.086328011,7.05051671,1.002743686,0.819460121
8.034112237,4.075161246,4.099026263,4.062386394,0.824129023
2.965633248,0.507340724,0.572765475,0.029476805,0.8264389
6.057097472,6.046824636,1.019812849,5.902565155,0.830795414
2.093235726,7.911398122,2.059657513,2.0131863,0.832644304
6.98798354,0.901859434,7.091404838,0.920699102,0.834193984
9.041676057,8.931195981,1.042155794,0.907565927,0.837943593
9.919340026,8.997143932,1.054436944,1.01516519,0.838682573
5.984254043,5.937490534,5.958708825,1.009590308,0.852341958
3.073943708,0.909923786,-0.004362703,0.091000888,0.862348616
8.09730848,8.012211823,1.0756012,0.951501576,0.888317598
7.906523454,1.987238743,1.941566386,1.995681235,0.899095016
7.032868568,6.923252731,6.92647623,0.990097265,0.908396722
6.95037098,7.053848485,7.065257796,1.051466395,0.923070697
8.930622995,9.085375328,1.067037917,1.023307693,0.942755697
5.943063817,6.071131041,6.06437356,0.976737562,0.94505028
7.030397896,6.905629044,6.986938874,0.997723144,0.960658922
3.945509102,-0.094786004,-0.034946653,0.049302748,0.964727005
